"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Arkansas"	"05"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	126	2691571	4.7	4.8
	"Arkansas"	"05"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	175	2705927	6.5	6.8
	"Arkansas"	"05"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	184	2724816	6.8	7.0
	"Arkansas"	"05"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	227	2749686	8.3	8.5
	"Arkansas"	"05"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	269	2781097	9.7	10.1
	"Arkansas"	"05"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	285	2821761	10.1	10.5
	"Arkansas"	"05"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	301	2848650	10.6	10.9
	"Arkansas"	"05"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	360	2874554	12.5	13.1
	"Arkansas"	"05"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	351	2896843	12.1	12.6
	"Arkansas"	"05"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	350	2915918	12.0	12.5
	"Arkansas"	"05"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	355	2937979	12.1	12.6
	"Arkansas"	"05"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	373	2949131	12.6	13.1
	"Arkansas"	"05"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	319	2959373	10.8	11.1
	"Arkansas"	"05"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	355	2966369	12.0	12.5
	"Arkansas"	"05"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	390	2978204	13.1	13.8
	"Arkansas"	"05"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	399	2988248	13.4	13.9
	"California"	"06"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	2660	33499204	7.9	8.1
	"California"	"06"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	1936	33871648	5.7	5.8
	"California"	"06"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	1224	34479458	3.5	3.6
	"California"	"06"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	2967	34871843	8.5	8.7
	"California"	"06"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	3097	35253159	8.8	8.9
	"California"	"06"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	3120	35574576	8.8	8.8
	"California"	"06"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	3208	35827943	9.0	9.0
	"California"	"06"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	3485	36021202	9.7	9.6
	"California"	"06"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	3848	36250311	10.6	10.5
	"California"	"06"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	3859	36604337	10.5	10.4
	"California"	"06"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	4042	36961229	10.9	10.7
	"California"	"06"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	4049	37253956	10.9	10.5
	"California"	"06"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	4177	37691912	11.1	10.7
	"California"	"06"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	4029	38041430	10.6	10.2
	"California"	"06"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	4451	38332521	11.6	11.1
	"California"	"06"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	4515	38802500	11.6	11.1
	"California"	"06"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	4652	39144818	11.9	11.3
	"California"	"06"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	4649	39250017	11.8	11.2
	"Colorado"	"08"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	349	4226018	8.3	8.0
	"Colorado"	"08"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	350	4301261	8.1	7.8
	"Colorado"	"08"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	410	4425687	9.3	9.0
	"Colorado"	"08"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	446	4490406	9.9	9.7
	"Colorado"	"08"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	502	4528732	11.1	10.7
	"Colorado"	"08"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	518	4575013	11.3	10.9
	"Colorado"	"08"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	607	4631888	13.1	12.7
	"Colorado"	"08"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	626	4720423	13.3	12.8
	"Colorado"	"08"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	734	4803868	15.3	14.7
	"Colorado"	"08"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	748	4889730	15.3	14.7
	"Colorado"	"08"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	767	4972195	15.4	14.9
	"Colorado"	"08"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	654	5029196	13.0	12.7
	"Colorado"	"08"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	840	5116796	16.4	16.1
	"Colorado"	"08"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	806	5187582	15.5	15.0
	"Colorado"	"08"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	844	5268367	16.0	15.5
	"Colorado"	"08"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	899	5355866	16.8	16.3
	"Colorado"	"08"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	869	5456574	15.9	15.4
	"Colorado"	"08"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	941	5540545	17.0	16.6
	"Connecticut"	"09"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	310	3386401	9.2	9.0
	"Connecticut"	"09"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	320	3405565	9.4	9.2
	"Connecticut"	"09"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	307	3432835	8.9	8.8
	"Connecticut"	"09"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	354	3458749	10.2	10.3
	"Connecticut"	"09"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	307	3484336	8.8	8.8
	"Connecticut"	"09"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	333	3496094	9.5	9.6
	"Connecticut"	"09"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	295	3506956	8.4	8.5
	"Connecticut"	"09"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	407	3517460	11.6	11.5
	"Connecticut"	"09"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	433	3527270	12.3	12.2
	"Connecticut"	"09"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	386	3545579	10.9	10.7
	"Connecticut"	"09"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	393	3561807	11.0	11.0
	"Connecticut"	"09"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	363	3574097	10.2	10.1
	"Connecticut"	"09"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	402	3580709	11.2	11.2
	"Connecticut"	"09"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	438	3590347	12.2	12.0
	"Connecticut"	"09"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	582	3596080	16.2	16.0
	"Connecticut"	"09"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	622	3596677	17.3	17.6
	"Connecticut"	"09"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	797	3590886	22.2	22.0
	"Connecticut"	"09"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	969	3576452	27.1	27.3
	"Delaware"	"10"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	50	774990	6.5	6.4
	"Delaware"	"10"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	55	783600	7.0	7.0
	"Delaware"	"10"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	64	795699	8.0	8.0
	"Delaware"	"10"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	82	806169	10.2	10.2
	"Delaware"	"10"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	77	818003	9.4	9.4
	"Delaware"	"10"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	63	830803	7.6	7.6
	"Delaware"	"10"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	62	845150	7.3	7.5
	"Delaware"	"10"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	78	859268	9.1	9.4
	"Delaware"	"10"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	96	871749	11.0	11.3
	"Delaware"	"10"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	124	883874	14.0	14.3
	"Delaware"	"10"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	136	891730	15.3	15.4
	"Delaware"	"10"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	145	897934	16.1	16.6
	"Delaware"	"10"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	160	907135	17.6	17.6
	"Delaware"	"10"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	141	917092	15.4	15.2
	"Delaware"	"10"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	166	925749	17.9	18.7
	"Delaware"	"10"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	189	935614	20.2	20.9
	"Delaware"	"10"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	197	945934	20.8	21.8
	"Delaware"	"10"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	282	952065	29.6	30.8
	"District of Columbia"	"11"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	48	570213	8.4	8.3
	"District of Columbia"	"11"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	76	572059	13.3	13.4
	"District of Columbia"	"11"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	93	574504	16.2	16.2
	"District of Columbia"	"11"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	61	573158	10.6	10.9
	"District of Columbia"	"11"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	102	568502	17.9	17.9
	"District of Columbia"	"11"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	86	567754	15.1	15.3
	"District of Columbia"	"11"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	76	567136	13.4	13.5
	"District of Columbia"	"11"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	97	570681	17.0	17.1
	"District of Columbia"	"11"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	61	574404	10.6	10.8
	"District of Columbia"	"11"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	56	580236	9.7	9.6
	"District of Columbia"	"11"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	26	592228	4.4	4.1
	"District of Columbia"	"11"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	78	601723	13.0	12.9
	"District of Columbia"	"11"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	86	617996	13.9	13.5
	"District of Columbia"	"11"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	75	632323	11.9	12.2
	"District of Columbia"	"11"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	101	646449	15.6	14.8
	"District of Columbia"	"11"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	96	658893	14.6	14.2
	"District of Columbia"	"11"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	125	672228	18.6	18.6
	"District of Columbia"	"11"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	269	681170	39.5	38.8
	"Florida"	"12"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	997	15759421	6.3	6.4
	"Florida"	"12"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	1157	15982378	7.2	7.4
	"Florida"	"12"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	1742	16356966	10.6	10.9
	"Florida"	"12"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	1927	16689370	11.5	11.8
	"Florida"	"12"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	2052	17004085	12.1	12.4
	"Florida"	"12"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	2260	17415318	13.0	13.2
	"Florida"	"12"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	2370	17842038	13.3	13.5
	"Florida"	"12"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	2589	18166990	14.3	14.4
	"Florida"	"12"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	2791	18367842	15.2	15.4
	"Florida"	"12"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	2960	18527305	16.0	16.2
	"Florida"	"12"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	3091	18652644	16.6	16.7
	"Florida"	"12"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	3059	18801310	16.3	16.4
	"Florida"	"12"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	2916	19057542	15.3	15.4
	"Florida"	"12"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	2594	19317568	13.4	13.3
	"Florida"	"12"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	2469	19552860	12.6	12.6
	"Florida"	"12"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	2633	19893297	13.2	13.2
	"Florida"	"12"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	3226	20271272	15.9	16.2
	"Florida"	"12"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	4724	20612439	22.9	23.7
	"Georgia"	"13"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	283	8045965	3.5	3.5
	"Georgia"	"13"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	364	8186453	4.4	4.4
	"Georgia"	"13"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	509	8377038	6.1	6.0
	"Georgia"	"13"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	563	8508256	6.6	6.5
	"Georgia"	"13"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	606	8622793	7.0	6.9
	"Georgia"	"13"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	664	8769252	7.6	7.5
	"Georgia"	"13"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	737	8925922	8.3	8.2
	"Georgia"	"13"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	828	9155813	9.0	8.9
	"Georgia"	"13"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	923	9349988	9.9	9.7
	"Georgia"	"13"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	934	9504843	9.8	9.7
	"Georgia"	"13"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	1005	9620846	10.4	10.3
	"Georgia"	"13"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	1052	9687653	10.9	10.7
	"Georgia"	"13"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	1056	9815210	10.8	10.7
	"Georgia"	"13"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	1052	9919945	10.6	10.5
	"Georgia"	"13"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	1096	9992167	11.0	10.8
	"Georgia"	"13"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	1204	10097343	11.9	11.9
	"Georgia"	"13"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	1297	10214860	12.7	12.6
	"Georgia"	"13"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	1392	10310371	13.5	13.3
	"Hawaii"	"15"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	80	1210300	6.6	6.5
	"Hawaii"	"15"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	63	1211537	5.2	5.1
	"Hawaii"	"15"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	76	1225948	6.2	6.1
	"Hawaii"	"15"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	77	1239613	6.2	6.1
	"Hawaii"	"15"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	92	1251154	7.4	7.1
	"Hawaii"	"15"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	103	1273569	8.1	8.0
	"Hawaii"	"15"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	126	1292729	9.7	9.4
	"Hawaii"	"15"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	86	1309731	6.6	6.4
	"Hawaii"	"15"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	136	1315675	10.3	10.0
	"Hawaii"	"15"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	123	1332213	9.2	9.0
	"Hawaii"	"15"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	136	1346717	10.1	9.6
	"Hawaii"	"15"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	150	1360301	11.0	10.8
	"Hawaii"	"15"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	180	1374810	13.1	12.4
	"Hawaii"	"15"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	155	1392313	11.1	11.0
	"Hawaii"	"15"	"2013"	"2013"	"External causes of morbidity and mortality"	"V01-Y89"	158	1404054	11.3	11.0
	"Hawaii"	"15"	"2014"	"2014"	"External causes of morbidity and mortality"	"V01-Y89"	155	1419561	10.9	10.7
	"Hawaii"	"15"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	169	1431603	11.8	11.3
	"Hawaii"	"15"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	191	1428557	13.4	12.8
	"Idaho"	"16"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	64	1275674	5.0	5.3
	"Idaho"	"16"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	63	1293953	4.9	5.0
	"Idaho"	"16"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	97	1319962	7.3	7.7
	"Idaho"	"16"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	117	1340372	8.7	9.1
	"Idaho"	"16"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	101	1363380	7.4	7.8
	"Idaho"	"16"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	98	1391802	7.0	7.4
	"Idaho"	"16"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	108	1428241	7.6	8.0
	"Idaho"	"16"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	130	1468669	8.9	9.3
	"Idaho"	"16"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	126	1505105	8.4	8.6
	"Idaho"	"16"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	145	1534320	9.5	9.7
	"Idaho"	"16"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	171	1554439	11.0	11.6
	"Idaho"	"16"	"2010"	"2010"	"External causes of morbidity and mortality"	"V01-Y89"	178	1567582	11.4	11.8
	"Idaho"	"16"	"2011"	"2011"	"External causes of morbidity and mortality"	"V01-Y89"	193	1584985	12.2	12.9
	"Idaho"	"16"	"2012"	"2012"	"External causes of morbidity and mortality"	"V01-Y89"	180	1595728	11.3	11.8
